property_type,address,bedroom_number,bathroom_number,area,phone,description,listed_in_site,link,company,price
Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,183 sqm,tel:+20221257304,Under Market Price Resale Apartment At PNC,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5026574.html,Blue Rock Real Estate logo image,"7,300,000 EGP"
Townhouse,"Mountain View Chill Out Park, Northern Expansions, 6 October City, Giza",3,3,210 sqm,tel:+201096983935,اقل سعر تاون هاوس للبيع بماونتن فيو تشيل اوت بارك.,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-6-october-city-northern-expansions-mountain-view-chill-out-park-5024247.html,Gate real estate marketing logo image,"2,350,000 EGP"
Apartment,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,115 sqm,tel:+20221208441,"Apartment for sale, Ready to move in Taj City",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-taj-city-5023751.html,Blue Reef Real Estate logo image,"5,000,000 EGP"
Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,152 sqm,tel:+201153154073,Own Apartment 152m at Sodic Eastown prime location,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-5025606.html,TAI - The Address Investments logo image,"9,200,000 EGP"
Apartment,"Sun Capital, Fayoum Desert road, 6 October City, Giza",3,3,181 sqm,tel:+201103007699,an apartment ready to move with a pool view,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-fayoum-desert-road-sun-capital-5025395.html,Impact Investments logo image,"11,158,000 EGP"
Apartment,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,167 sqm,tel:+201279279761,Under market price apartment in M.V. hyde park,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-5027164.html,Egypt Best Properties logo image,"11,200,000 EGP"
Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,128 sqm,tel:+20221257261,Fully Finished on lagoon with installments - PHNC,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5026737.html,URE-Ultimate Real Estate logo image,"8,535,800 EGP"
Apartment,"The Fourteen Golf Residences, Uptown Cairo, Mokattam, Cairo",3,3,222 sqm,tel:+201096963555,Apartment with pool view for sale in Uptown Cairo,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mokattam-uptown-cairo-the-fourteen-golf-residences-5024172.html,Green Homes Real estate Agency logo image,"16,500,000 EGP"
Penthouse,"Azha North, Ras Al Hekma, North Coast",1,1,77 sqm,tel:+201096977737,Penthouse 77SQM with open roof in Azha North Coast,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-north-coast-ras-al-hekma-azha-north-5027273.html,Element not found,"8,194,000 EGP"
Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",3,2,125 sqm,tel:+20221256985,dp 300k-lowest price apt 3rooms-f.f-rtm-inst10y,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-5026009.html,Arabian Estate logo image,"6,000,000 EGP"
Villa,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,4,212 sqm,tel:+201125272088,s-villa 4BR sale with attractive price discount39%,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-sarai-5026755.html,Element not found,"12,000,000 EGP"
Apartment,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza",3,3,171 sqm,tel:+201103653377,✳️171 m | Live with 10% installments | Discount✳️,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-badya-palm-hills-5025403.html,Next Consultancy logo image,"14,523,000 EGP"
Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5,544 sqm,tel:+201025447652,Standalone Villa For Sale 544M Hyde Park New Cairo,Listed 11 hours ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-5028432.html,GPR Property logo image,"6,500,000 EGP"
Villa,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6,5,385 sqm,tel:+20221256958,villa in PHNC with instlaments with catchy price,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5026422.html,Views for Real Estate logo image,"24,253,000 EGP"
Apartment,"El Narges Buildings, Al Narges, New Cairo City, Cairo",3,2,210 sqm,tel:+20221208364,Immediate apartment with panoramic view at the low,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-al-narges-el-narges-buildings-5024500.html,Damson Real estate logo image,"5,500,000 EGP"
iVilla,"Aliva, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,4,250 sqm,tel:+201099655713,Aliva IVilla 250M Direct on River prime location,Listed 13 hours ago,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-aliva-5028287.html,Backyard logo image,"13,307,990 EGP"
Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,242 sqm,tel:+201070002929,Ready to Move Corner Bahary with installments,Listed 13 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5028295.html,ALux Investments logo image,"10,500,000 EGP"
Apartment,"Park Side Residence, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",2,2,129 sqm,tel:+20221208356,Resale apartment Under market price in Zed West,Listed 3 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-zed-towers-park-side-residence-5028875.html,FLR Real Estate logo image,"16,086,094 EGP"
Villa,"Gardenia Springs, Ext North Inves Area, New Cairo City, Cairo",5,6,"1,250 sqm",tel:+201150000727,Stand Alone For Sale in Gardenia Springs,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-ext-north-inves-area-gardenia-springs-5027914.html,Akar Town Real Estate logo image,"32,500,000 EGP"
Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,202 sqm,tel:+20121111242,Apartment for sale with Garden( Family house),Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5026996.html,Element not found,"13,500,000 EGP"
Chalet,"Cali Coast, Ras Al Hekma, North Coast",1,1,65 sqm,tel:+201020111386,"With 5% down payment, finished chalet 8years inst,",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-cali-coast-5024225.html,Misr Aqaria logo image,"6,800,000 EGP"
Chalet,"Marassi, Sidi Abdel Rahman, North Coast",1,1,80 sqm,tel:+201060007985,Chalet 80m Under Price in Greek Marassi,Listed 11 hours ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-5028436.html,A-Plus logo image,"9,500,000 EGP"
Villa,"The Estates, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",5,5,320 sqm,tel:+201200050076,Finished townhouse and over8years limited units,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-the-estates-5024791.html,Egypt Best Properties logo image,"2,900,000 EGP"
Apartment,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,131 sqm,tel:+201070002929,Under Market Price Finished with Acs Instll,Listed 12 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-zed-east-5028357.html,ALux Investments logo image,"8,867,000 EGP"
Villa,"Marassi, Sidi Abdel Rahman, North Coast",5,4,325 sqm,tel:+201272020450,Villa for sale in Marassi Veneto,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-north-coast-sidi-abdel-rahman-marassi-5026337.html,Hodoud for Real Estate logo image,"68,000,000 EGP"
Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,125 sqm,tel:+20221257304,Resale ICity Apartment With Installments Garden70m,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-5026281.html,Blue Rock Real Estate logo image,"5,900,000 EGP"
Chalet,"Golf Porto Marina, Al Alamein, North Coast",2,2,80 sqm,tel:+201154260427,"Fully furnished chalet, Immediate",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-al-alamein-golf-porto-marina-5026957.html,Element not found,"3,250,000 EGP"
Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",3,3,230 sqm,tel:+201050022390,Own your ready to move home with 40% cash discount,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-5026382.html,Own Properties Real Estate Consultancy logo image,Ask for price
Twin House,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5,376 sqm,tel:+201011503511,twin house in mountain veiw hyde park 376m,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-5023475.html,Nilee Real Estate logo image,"20,500,000 EGP"
Villa,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,4,212 sqm,tel:+20221208366,Villa 4BR + Garden 110m for resale / INST - Sarai,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-sarai-5027202.html,Go Green Egypt Real Estate logo image,"2,600,000 EGP"
Villa,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,325 sqm,tel:+201092625951,Big Offer! villa 325m at palm hills-very low price,Listed 8 hours ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5028575.html,Monogram Real Estate Trust logo image,"22,550,000 EGP"
Villa,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",6,5,900 sqm,tel:+201272020450,Villa for sale in Cairo Festival City,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-north-investors-area-cairo-festival-city-5026244.html,Hodoud for Real Estate logo image,"75,000,000 EGP"
Twin House,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,320 sqm,tel:+20221256958,Fully finished Twin House l Mivida l Hot price,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-5024633.html,Views for Real Estate logo image,"35,500,000 EGP"
Apartment,"Aliva, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,1,125 sqm,tel:+20221208446,lagoon park view apartment 8y installments in mv,Listed 7 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-aliva-5028590.html,IMKAN Investments logo image,"962,000 EGP"
Chalet,"June, Ras Al Hekma, North Coast",3,3,150 sqm,tel:+201200050076,For sale Ground Chalet 3 Bedrooms With Garden,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-june-5024788.html,Egypt Best Properties logo image,"1,800,000 EGP"
Apartment,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza",3,3,173 sqm,tel:+201279279761,apartment for sale in badya - price negotiable,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-badya-palm-hills-5027172.html,Egypt Best Properties logo image,"7,757,990 EGP"
Penthouse,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,300 sqm,tel:+20221208356,"Penthouse for sale,Fully finished in Lake View",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-residence-5026100.html,FLR Real Estate logo image,"34,000,000 EGP"
Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5,500 sqm,tel:+201096963555,Standalone Villa 500m fully finished in Mivida,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-5024340.html,Green Homes Real estate Agency logo image,"90,000,000 EGP"
Chalet,"Gaia, Ras Al Hekma, North Coast",2,2,110 sqm,tel:+201205889440,New Launch Chalet Phase 1 summer at NORTH COAST,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-gaia-5023370.html,Egypt Best Properties West logo image,"6,400,000 EGP"
Villa,"Belle Vie, New Zayed City, Sheikh Zayed City, Giza",3,4,304 sqm,tel:+201272020450,Premium villa in New Zayed Belle Vie,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-new-zayed-city-belle-vie-5026600.html,Hodoud for Real Estate logo image,"35,347,575 EGP"
Apartment,"Nyoum October, Northern Expansions, 6 October City, Giza",2,2,93 sqm,tel:+201070001420,"Apartment for sale, 93 meters, in Nyoum october",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-northern-expansions-nyoum-october-5024556.html,Black Brick For Real Estate logo image,"3,906,000 EGP"
Chalet,"Cali Coast, Ras Al Hekma, North Coast",2,2,89 sqm,tel:+201020111386,"chalet with roof , 5% down payment, fully finished",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-cali-coast-5024421.html,Misr Aqaria logo image,"8,900,000 EGP"
Townhouse,"O West, 6 October Compounds, 6 October City, Giza",3,3,192 sqm,tel:+20221208545,"Apartment for sale, O west compound",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-6-october-city-6-october-compounds-o-west-5025762.html,Premium Real estate logo image,"10,795,000 EGP"
Apartment,"The Fourteen Golf Residences, Uptown Cairo, Mokattam, Cairo",3,3,226 sqm,tel:+201125588866,3Bedrooms View Golf Uptown Lowset Price,Listed 13 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mokattam-uptown-cairo-the-fourteen-golf-residences-5028303.html,Green Homes Real estate Agency logo image,"15,800,000 EGP"
Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,170 sqm,tel:+20221256958,Apartment with garden in MV Icity *with Hot price*,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-5026380.html,Views for Real Estate logo image,"5,750,000 EGP"
Twin House,"Amwaj, Sidi Abdel Rahman, North Coast",4,3,225 sqm,tel:+201280862222,Twin house fully finished with Prime location,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-north-coast-sidi-abdel-rahman-amwaj-5025259.html,New Avenue Real Estate logo image,"14,000,000 EGP"
Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,217 sqm,tel:+20221256958,Mivida l Apartment l Big area l Good location,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-5024821.html,Views for Real Estate logo image,"18,500,000 EGP"
Apartment,"Helioeye, New Heliopolis Compounds, New Heliopolis, Cairo",3,3,155 sqm,tel:+201060828903,Apartment 155m in special location on Suez Road,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-heliopolis-new-heliopolis-compounds-helioeye-5023582.html,Roots Real Estate logo image,"2,010,000 EGP"
Apartment,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,137 sqm,tel:+201070002929,Lowest Over Fully Finished with ACs with Installs,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-zed-east-5026980.html,ALux Investments logo image,"8,180,000 EGP"
Apartment,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,137 sqm,tel:+201070002929,Lowest Over Fully Finished with ACs with Installs,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-zed-east-5026980.html,ALux Investments logo image,"8,180,000 EGP"
Apartment,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",3,3,180 sqm,tel:+201226681198,Prime location apartment for sale at El Brouj.,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-5024906.html,New Destination  Real Estate Consultancy logo image,"5,550,000 EGP"
Apartment,"Park Side Residence, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,2,162 sqm,tel:+201287900007,Apartment for sale - in Zed towers - installments,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-zed-towers-park-side-residence-5025824.html,Remax The Address logo image,"10,592,404 EGP"
